gap	singleton_share	tiny_share	balanced_share	skipped_prime_count
1	0.0	0.0	0.0	0
2	1.0	1.0	0.0	1
3	1.0	1.0	0.0	1
4	1.0	1.0	0.0	1
5	1.0	1.0	0.0	1
7	0.8333333333333334	1.0	0.0	1
8	1.0	0.8571428571428571	0.0	1
11	0.8	0.7	0.0	1
12	1.0	0.5454545454545454	0.0	1
13	0.8333333333333334	0.6666666666666666	0.0	1
17	0.875	0.5	0.0	0
19	0.8333333333333334	0.5	0.05555555555555555	1
20	0.8947368421052632	0.47368421052631576	0.05263157894736842	0
21	0.8	0.45	0.15	0
25	0.75	0.4166666666666667	0.2916666666666667	1
28	0.6666666666666666	0.37037037037037035	0.3333333333333333	0
30	0.6551724137931034	0.3448275862068966	0.4482758620689655	0
