n	row	column
1	1	1
2	2	3
3	4	5
4	7	8
5	9	11
6	13	14
7	15	17
8	18	19
9	23	24
10	25	26
11	29	30
12	31	33
13	36	37
14	40	41
15	42	43
16	46	47
17	49	50
18	51	53
19	55	57
20	58	59
21	61	62
22	63	64
23	67	70
24	71	73
25	78	79
26	80	81
27	83	84
28	85	88
29	89	91
30	92	95
31	97	101
32	102	103
33	105	107
34	109	110
35	111	112
36	113	116
37	117	121
38	122	123
39	127	129
40	130	131
41	134	135
42	136	137
43	139	141
44	142	149
45	150	151
46	152	154
47	156	157
48	159	160
49	161	163
50	166	167
51	169	170
52	173	175
53	177	178
54	179	181
55	185	186
56	187	191
57	192	193
58	194	195
59	196	197
60	199	203
