n	offset
1	0
2001	4
4001	1
6001	2
8001	7
10001	3
12001	4
14001	6
16001	1
18001	4
20001	1
22001	3
24001	1
26001	1
28001	1
30001	2
32001	2
34001	1
36001	1
38001	3
40001	1
42001	1
44001	4
46001	11
48001	2
50001	2
52001	1
54001	2
56001	5
58001	2
60001	1
62001	3
64001	5
66001	1
68001	3
70001	1
72001	7
74001	1
76001	6
78001	3
80001	1
82001	2
84001	1
86001	2
88001	3
90001	2
92001	1
94001	1
96001	3
98001	2
100001	5
102001	4
104001	5
106001	4
108001	2
110001	1
112001	2
114001	2
116001	1
118001	4
120001	4
122001	2
124001	2
126001	4
128001	1
130001	1
132001	6
134001	2
136001	2
138001	1
140001	3
142001	2
144001	2
146001	1
148001	4
150001	4
152001	2
154001	1
156001	2
158001	4
160001	1
162001	1
164001	2
166001	1
168001	3
170001	3
172001	1
174001	2
176001	4
178001	4
180001	1
182001	3
184001	2
186001	7
188001	1
190001	1
192001	1
194001	3
196001	4
198001	2
200001	1
202001	2
204001	1
206001	3
208001	4
210001	1
212001	1
214001	1
216001	2
218001	1
220001	1
222001	4
224001	2
226001	2
228001	1
230001	7
232001	3
234001	7
236001	4
238001	1
240001	1
242001	10
244001	1
246001	1
248001	2
250001	4
252001	1
254001	5
256001	1
258001	6
260001	1
262001	4
264001	1
266001	7
268001	2
270001	2
272001	4
274001	2
276001	1
278001	5
280001	1
282001	3
284001	1
286001	1
288001	1
290001	4
292001	3
294001	2
296001	1
298001	1
300001	1
302001	5
304001	7
306001	2
308001	2
310001	3
312001	3
314001	1
316001	3
318001	2
320001	1
322001	2
324001	1
326001	1
328001	1
330001	3
332001	1
334001	1
336001	3
338001	4
340001	2
342001	6
344001	5
346001	4
348001	2
350001	3
352001	4
354001	1
356001	1
358001	2
360001	4
362001	1
364001	1
366001	8
368001	1
370001	2
372001	2
374001	1
376001	1
378001	1
380001	3
382001	1
384001	1
386001	3
388001	1
390001	4
392001	1
394001	3
396001	5
398001	3
400001	1
402001	2
404001	4
406001	4
408001	6
410001	1
412001	1
414001	2
416001	1
418001	2
420001	3
422001	2
424001	2
426001	5
428001	9
430001	3
432001	1
434001	2
436001	1
438001	2
440001	2
442001	2
444001	2
446001	1
448001	4
450001	2
452001	3
454001	2
456001	3
458001	2
460001	1
462001	2
464001	3
466001	1
468001	4
470001	5
472001	4
474001	1
476001	2
478001	6
480001	10
482001	6
484001	2
486001	2
488001	2
490001	1
492001	5
494001	1
496001	6
498001	3
500001	2
502001	1
504001	2
506001	3
508001	2
510001	2
512001	4
514001	4
516001	1
518001	1
520001	5
522001	2
524001	4
526001	2
528001	3
530001	2
532001	3
534001	4
536001	2
538001	11
540001	3
542001	3
544001	1
546001	6
548001	1
550001	1
552001	1
554001	2
556001	2
558001	1
560001	5
562001	4
564001	2
566001	1
568001	4
570001	3
572001	9
574001	1
576001	4
578001	3
580001	2
582001	1
584001	4
586001	3
588001	1
590001	2
592001	3
594001	2
596001	4
598001	6
600001	1
602001	2
604001	2
606001	2
608001	2
610001	1
612001	1
614001	1
616001	1
618001	4
620001	3
622001	8
624001	1
626001	1
628001	1
630001	2
632001	2
634001	3
636001	2
638001	2
640001	1
642001	2
644001	2
646001	1
648001	1
650001	2
652001	3
654001	5
656001	1
658001	3
660001	1
662001	1
664001	3
666001	3
668001	8
670001	1
672001	2
674001	5
676001	4
678001	1
680001	2
682001	2
684001	15
686001	2
688001	5
690001	4
692001	2
694001	4
696001	2
698001	8
700001	2
702001	1
704001	4
706001	2
708001	1
710001	1
712001	5
714001	4
716001	1
718001	2
720001	2
722001	1
724001	1
726001	3
728001	2
730001	1
732001	1
734001	1
736001	4
738001	9
740001	1
742001	5
744001	4
746001	2
748001	6
750001	2
752001	8
754001	2
756001	1
758001	2
760001	2
762001	1
764001	4
766001	1
768001	2
770001	1
772001	1
774001	3
776001	5
778001	3
780001	3
782001	6
784001	1
786001	7
788001	7
790001	2
792001	1
794001	4
796001	2
798001	3
800001	1
802001	2
804001	3
806001	8
808001	1
810001	1
812001	4
814001	4
816001	1
818001	3
820001	5
822001	2
824001	2
826001	2
828001	1
830001	4
832001	1
834001	1
836001	2
838001	1
840001	3
842001	1
844001	2
846001	6
848001	1
850001	1
852001	5
854001	13
856001	1
858001	1
860001	3
862001	1
864001	5
866001	6
868001	1
870001	2
872001	1
874001	4
876001	3
878001	2
880001	2
882001	2
884001	3
886001	2
888001	1
890001	2
892001	3
894001	2
896001	1
898001	4
900001	3
902001	1
904001	1
906001	4
908001	4
910001	3
912001	3
914001	1
916001	7
918001	1
920001	1
922001	1
924001	1
926001	2
928001	4
930001	2
932001	3
934001	1
936001	1
938001	2
940001	2
942001	4
944001	2
946001	1
948001	1
950001	3
952001	1
954001	1
956001	1
958001	1
960001	1
962001	1
964001	4
966001	1
968001	4
970001	3
972001	1
974001	4
976001	2
978001	3
980001	2
982001	3
984001	1
986001	5
988001	5
990001	3
992001	2
994001	1
996001	7
998001	1
