baseline_row	baseline_col	row_immediate_row	row_immediate_col	column_immediate_row	column_immediate_col
1	1	1	1	1	1
2	3	2	3	3	2
4	5	4	5	5	4
7	8	7	8	8	7
9	11	9	11	11	9
13	14	13	14	14	13
15	17	15	17	17	15
18	19	18	19	19	18
23	24	23	24	24	23
25	26	25	26	26	25
29	30	29	30	30	29
31	33	31	33	33	31
36	37	36	37	37	36
40	41	40	41	41	40
42	43	42	43	43	42
46	47	46	47	47	46
49	50	49	50	50	49
51	53	51	53	53	51
55	57	55	57	57	55
58	59	58	59	59	58
61	62	61	62	62	61
63	64	63	64	64	63
67	70	67	70	70	67
71	73	71	73	73	71
78	79	78	79	79	78
80	81	80	81	81	80
83	84	83	84	84	83
85	88	85	88	88	85
89	91	89	91	91	89
92	95	92	95	95	92
97	101	97	101	101	97
102	103	102	103	103	102
105	107	105	107	107	105
109	110	109	110	110	109
111	112	111	112	112	111
113	116	113	116	116	113
117	121	117	121	121	117
122	123	122	123	123	122
127	129	127	129	129	127
130	131	130	131	131	130
134	135	134	135	135	134
136	137	136	137	137	136
139	141	139	141	141	139
142	149	142	149	149	142
150	151	150	151	151	150
152	154	152	154	154	152
156	157	156	157	157	156
159	160	159	160	160	159
161	163	161	163	163	161
166	167	166	167	167	166
169	170	169	170	170	169
173	175	173	175	175	173
177	178	177	178	178	177
179	181	179	181	181	179
185	186	185	186	186	185
187	191	187	191	191	187
192	193	192	193	193	192
194	195	194	195	195	194
196	197	196	197	197	196
199	203	199	203	203	199
204	205	204	205	205	204
207	208	207	208	208	207
209	211	209	211	211	209
215	217	215	217	217	215
218	219	218	219	219	218
222	223	222	223	223	222
225	226	225	226	226	225
227	229	227	229	229	227
233	235	233	235	235	233
237	238	237	238	238	237
239	241	239	241	241	239
243	244	243	244	244	243
250	251	250	251	251	250
254	257	254	257	257	254
260	261	260	261	261	260
263	264	263	264	264	263
265	266	265	266	266	265
268	269	268	269	269	268
271	272	271	272	272	271
273	277	273	277	277	273
278	279	278	279	279	278
281	283	281	283	283	281
284	286	284	286	286	284
289	293	289	293	293	289
294	295	294	295	295	294
296	299	296	299	299	296
300	303	300	303	303	300
304	307	304	307	307	304
309	310	309	310	310	309
311	313	311	313	313	311
317	318	317	318	318	317
321	323	321	323	323	321
325	328	325	328	328	325
330	331	330	331	331	330
332	337	332	337	337	332
343	344	343	344	344	343
345	346	345	346	346	345
347	348	347	348	348	347
349	353	349	353	353	349
354	357	354	357	357	354
358	359	358	359	359	358
361	363	361	363	363	361
365	367	365	367	367	365
370	373	370	373	373	370
374	375	374	375	375	374
376	377	376	377	377	376
