gap	count	survival
1	1	1.000000000000
2	117466	0.999998999999
3	174999	0.882532882533
4	187130	0.707533707534
5	142831	0.520403520404
6	129025	0.377572377572
7	78631	0.248547248547
8	61775	0.169916169916
9	38366	0.108141108141
10	26932	0.069775069775
11	15297	0.042843042843
12	11737	0.027546027546
13	5748	0.015809015809
14	4104	0.010061010061
15	2336	0.005957005957
16	1475	0.003621003621
17	795	0.002146002146
18	612	0.001351001351
19	284	0.000739000739
20	215	0.000455000455
21	89	0.000240000240
22	67	0.000151000151
23	29	0.000084000084
24	28	0.000055000055
25	14	0.000027000027
26	10	0.000013000013
28	2	0.000003000003
30	1	0.000001000001
