step	offset
1	0
5001	3
10001	3
15001	4
20001	1
25001	1
30001	2
35001	3
40001	1
45001	4
50001	2
55001	1
60001	1
65001	4
70001	1
75001	1
80001	1
85001	3
90001	2
95001	7
100001	5
105001	2
110001	1
115001	6
120001	4
125001	1
130001	1
135001	2
140001	3
145001	2
150001	4
155001	4
160001	1
165001	2
170001	3
175001	3
180001	1
185001	4
190001	1
195001	1
200001	1
205001	2
210001	1
215001	2
220001	1
225001	1
230001	7
235001	1
240001	1
245001	1
250001	4
255001	1
260001	1
265001	1
270001	2
275001	3
280001	1
285001	1
290001	4
295001	1
300001	1
305001	2
310001	3
315001	1
320001	1
325001	1
330001	3
335001	3
340001	2
345001	2
350001	3
355001	1
360001	4
365001	5
370001	2
375001	2
380001	3
385001	5
390001	4
395001	6
400001	1
405001	4
410001	1
415001	3
420001	3
425001	2
430001	3
435001	4
440001	2
445001	2
450001	2
455001	2
460001	1
465001	8
470001	5
475001	2
480001	10
485001	2
490001	1
495001	1
500001	2
505001	4
510001	2
515001	4
520001	5
525001	1
530001	2
535001	1
540001	3
545001	1
550001	1
555001	1
560001	5
565001	1
570001	3
575001	2
580001	2
585001	3
590001	2
595001	4
600001	1
605001	1
610001	1
615001	2
620001	3
625001	5
630001	2
635001	6
640001	1
645001	7
650001	2
655001	1
660001	1
665001	4
670001	1
675001	1
680001	2
685001	1
690001	4
695001	1
700001	2
705001	4
710001	1
715001	2
720001	2
725001	3
730001	1
735001	2
740001	1
745001	2
750001	2
755001	1
760001	2
765001	2
770001	1
775001	4
780001	3
785001	6
790001	2
795001	2
800001	1
805001	4
810001	1
815001	3
820001	5
825001	2
830001	4
835001	1
840001	3
845001	2
850001	1
855001	7
860001	3
865001	1
870001	2
875001	4
880001	2
885001	2
890001	2
895001	1
900001	3
905001	2
910001	3
915001	2
920001	1
925001	6
930001	2
935001	2
940001	2
945001	1
950001	3
955001	2
960001	1
965001	2
970001	3
975001	1
980001	2
985001	3
990001	3
995001	3
1000000	2
