gap	step	singleton_share	tiny_share	balanced_share	skipped_primes
14	1428	0.7692307692307693	0.5384615384615384	0.0	1
16	3386	0.8	0.5333333333333333	0.0	0
17	6759	0.8125	0.4375	0.0625	0
18	10988	0.7647058823529411	0.47058823529411764	0.058823529411764705	0
19	21404	0.8333333333333334	0.3888888888888889	0.16666666666666666	0
20	46887	0.7368421052631579	0.42105263157894735	0.2631578947368421	0
21	91320	0.8	0.35	0.2	0
23	92319	0.8181818181818182	0.5	0.22727272727272727	0
26	167877	0.68	0.32	0.32	0
27	245404	0.6923076923076923	0.38461538461538464	0.3076923076923077	1
31	464333	0.7	0.3333333333333333	0.3	0
