window	threshold	survivor
le1e3	1	1.0
le1e3	2	0.998998998998999
le1e3	3	0.8188188188188188
le1e3	4	0.5795795795795796
le1e3	5	0.35035035035035034
le1e3	6	0.2032032032032032
le1e3	7	0.10810810810810811
le1e3	8	0.057057057057057055
le1e3	9	0.026026026026026026
le1e3	10	0.009009009009009009
le1e3	11	0.005005005005005005
le1e3	12	0.002002002002002002
le1e3	13	0.001001001001001001
le1e3	14	0.0
le1e3	15	0.0
le1e3	16	0.0
le1e3	17	0.0
le1e3	18	0.0
le1e3	19	0.0
le1e3	20	0.0
le1e3	21	0.0
le1e3	22	0.0
le1e3	23	0.0
le1e3	24	0.0
le1e3	25	0.0
le1e3	26	0.0
le1e3	27	0.0
le1e3	28	0.0
le1e3	29	0.0
le1e3	30	0.0
1e3to1e4	1	1.0
1e3to1e4	2	1.0
1e3to1e4	3	0.8483333333333334
1e3to1e4	4	0.6421111111111111
1e3to1e4	5	0.4325555555555556
1e3to1e4	6	0.2927777777777778
1e3to1e4	7	0.17233333333333334
1e3to1e4	8	0.109
1e3to1e4	9	0.06144444444444445
1e3to1e4	10	0.034333333333333334
1e3to1e4	11	0.01877777777777778
1e3to1e4	12	0.010333333333333333
1e3to1e4	13	0.004666666666666667
1e3to1e4	14	0.003
1e3to1e4	15	0.0012222222222222222
1e3to1e4	16	0.0007777777777777777
1e3to1e4	17	0.0003333333333333333
1e3to1e4	18	0.00011111111111111112
1e3to1e4	19	0.00011111111111111112
1e3to1e4	20	0.0
1e3to1e4	21	0.0
1e3to1e4	22	0.0
1e3to1e4	23	0.0
1e3to1e4	24	0.0
1e3to1e4	25	0.0
1e3to1e4	26	0.0
1e3to1e4	27	0.0
1e3to1e4	28	0.0
1e3to1e4	29	0.0
1e3to1e4	30	0.0
1e4to1e5	1	1.0
1e4to1e5	2	1.0
1e4to1e5	3	0.8703111111111111
1e4to1e5	4	0.6817333333333333
1e4to1e5	5	0.4838777777777778
1e4to1e5	6	0.3383333333333333
1e4to1e5	7	0.2132888888888889
1e4to1e5	8	0.13946666666666666
1e4to1e5	9	0.08368888888888888
1e4to1e5	10	0.051555555555555556
1e4to1e5	11	0.029933333333333333
1e4to1e5	12	0.0178
1e4to1e5	13	0.009266666666666666
1e4to1e5	14	0.005611111111111111
1e4to1e5	15	0.0031
1e4to1e5	16	0.0018555555555555556
1e4to1e5	17	0.0009777777777777777
1e4to1e5	18	0.0005555555555555556
1e4to1e5	19	0.0002555555555555556
1e4to1e5	20	0.00013333333333333334
1e4to1e5	21	4.4444444444444447e-05
1e4to1e5	22	2.2222222222222223e-05
1e4to1e5	23	1.1111111111111112e-05
1e4to1e5	24	1.1111111111111112e-05
1e4to1e5	25	1.1111111111111112e-05
1e4to1e5	26	0.0
1e4to1e5	27	0.0
1e4to1e5	28	0.0
1e4to1e5	29	0.0
1e4to1e5	30	0.0
1e5to1e6	1	1.0
1e5to1e6	2	1.0
1e5to1e6	3	0.8841677777777778
1e5to1e6	4	0.71091
1e5to1e6	5	0.5251233333333334
1e5to1e6	6	0.38253777777777775
1e5to1e6	7	0.2529911111111111
1e5to1e6	8	0.17369555555555555
1e5to1e6	9	0.11114444444444445
1e5to1e6	10	0.07201888888888888
1e5to1e6	11	0.04441666666666667
1e5to1e6	12	0.02872111111111111
1e5to1e6	13	0.016591111111111112
1e5to1e6	14	0.010587777777777778
1e5to1e6	15	0.0062966666666666666
1e5to1e6	16	0.00383
1e5to1e6	17	0.0022833333333333334
1e5to1e6	18	0.0014444444444444444
1e5to1e6	19	0.0007944444444444444
1e5to1e6	20	0.0004922222222222222
1e5to1e6	21	0.00026222222222222223
1e5to1e6	22	0.00016555555555555556
1e5to1e6	23	9.222222222222222e-05
1e5to1e6	24	6e-05
1e5to1e6	25	2.8888888888888888e-05
1e5to1e6	26	1.4444444444444444e-05
1e5to1e6	27	3.3333333333333333e-06
1e5to1e6	28	3.3333333333333333e-06
1e5to1e6	29	1.111111111111111e-06
1e5to1e6	30	1.111111111111111e-06
