n	row_ratio	col_ratio	offset
1	1.0	1.0	0
287	3.836236933797909	3.843205574912892	2
573	4.003490401396161	4.005235602094241	1
858	4.118881118881119	4.12004662004662	1
1144	4.168706293706293	4.171328671328672	3
1430	4.218881118881119	4.21958041958042	1
1716	4.271561771561772	4.272144522144522	1
2002	4.29020979020979	4.290709290709291	1
2287	4.310887625710538	4.312199387844338	3
2573	4.337738048970074	4.338126700349786	1
2859	4.3711087792934595	4.371458551941238	1
3145	4.391414944356121	4.392368839427663	3
3431	4.407169921305742	4.407461381521422	1
3716	4.420882669537137	4.421151776103337	1
4002	4.437531234382808	4.438030984507746	2
4288	4.456856343283582	4.45732276119403	2
4574	4.4584608657630085	4.458679492785309	1
4860	4.473045267489712	4.473251028806584	1
5145	4.478328474246841	4.478717201166181	2
5431	4.488860246731726	4.489780887497698	5
5717	4.495539618681127	4.495889452510058	2
6003	4.504747626186907	4.5049142095618855	1
6289	4.516457306408014	4.517093337573541	4
6574	4.521448128993002	4.521600243383024	1
6860	4.52930029154519	4.529446064139941	1
7146	4.53302546879373	4.533165407220823	1
7432	4.533369214208827	4.533907427341227	4
7717	4.5345341453932875	4.534663729428535	1
8003	4.541172060477321	4.541546919905036	3
8289	4.548558330317288	4.548799613946194	2
8575	4.560233236151603	4.560349854227406	1
8861	4.566753188127751	4.567091750366775	3
9146	4.569647933522852	4.570085283183905	4
9432	4.5715648854961835	4.572307039864292	7
9718	4.5792344103725044	4.579337312204157	1
10004	4.585165933626549	4.5854658136745305	3
10290	4.590767735665695	4.590962099125364	2
10575	4.597919621749409	4.598486997635934	6
10861	4.604916674339379	4.605008746892551	1
11147	4.610209024849735	4.6102987350856734	1
11433	4.615324061926004	4.615498994139771	2
11719	4.617970816622579	4.618056148135507	1
12004	4.620459846717761	4.620626457847385	2
12290	4.619365337672905	4.619446704637917	1
12576	4.628101145038168	4.628419211195928	4
12862	4.631317058000311	4.631394806406469	1
13148	4.634545177973837	4.634621235168847	1
13433	4.6386510831534284	4.638799970222586	2
13719	4.639988337342372	4.640061228952548	1
14005	4.643127454480543	4.643270260621207	2
14291	4.644251626898048	4.644321601007627	1
14577	4.6482129381903	4.648350140632504	2
14862	4.650316242766788	4.650518099851971	3
15148	4.650844996039081	4.651043041985741	3
15434	4.6518724893093175	4.651937281326941	1
15720	4.650508905852417	4.650572519083969	1
