value	row_factor	column_factor
139040	55	2528
139040	80	1738
139040	869	160
139040	1264	110
139040	1760	79
139041	63	2207
139042	7318	19
139043	8179	17
139044	4	34761
139045	27809	5
139046	2	69523
139047	46349	3
139048	1528	91
139048	5348	26
139048	17381	8
139049	659	211
139050	225	618
139050	1030	135
139050	2781	50
139050	4635	30
139051	12641	11
139052	1	139052
139053	46351	3
139054	2	69527
139055	7	19865
139055	685	203
139055	1015	137
139055	27811	5
139056	5794	24
139057	577	241
139058	46	3023
139059	9	15451
