n	q10	q50	q90
1.4142135623730951	0.0	0.0	0.0
2.449489742783178	1.0	1.0	1.0
3.4641016151377544	1.0	1.0	1.0
4.47213595499958	1.0	1.0	1.0
5.477225575051661	2.0	2.0	2.0
6.928203230275509	1.1	1.5	1.9
8.94427190999916	1.0	1.0	1.0
11.40175425099138	1.0	1.0	1.8
14.422205101855956	1.0	1.0	1.0
17.88854381999832	1.0	1.5	2.0
22.360679774997898	1.0	1.0	2.6
28.284271247461902	1.0	2.0	3.4000000000000004
35.77708763999664	1.0	1.5	3.3
44.721359549995796	1.0	1.0	2.4999999999999982
56.124860801609124	1.0	1.0	3.6000000000000014
70.54785609782908	1.0	1.0	2.0
88.88194417315589	1.0	2.0	4.0
112.24972160321825	1.0	2.0	3.0
141.09571219565817	1.0	1.5	3.0
177.76388834631177	1.0	2.0	3.0
224.0535650240808	1.0	2.0	3.0
281.6309642067079	1.0	1.0	3.6000000000000014
354.6378434403187	1.0	2.0	4.0
446.54003180006157	1.0	2.0	4.0
562.2552800997071	1.0	2.0	4.0
707.8234243086337	1.0	2.0	4.0
891.0667763978186	1.0	2.0	4.0
1122.0516922138659	1.0	2.0	4.0
1412.6269854423708	1.0	2.0	4.0
1778.222427032119	1.0	2.0	4.0
2238.624577726243	1.0	2.0	4.0
2818.322905559262	1.0	2.0	4.0
3547.9461664461596	1.0	2.0	5.0
4466.852583195465	1.0	2.0	5.0
5623.674955044966	1.0	2.0	5.0
7079.571314705432	1.0	2.0	4.0
8912.350980521358	1.0	2.0	5.0
11220.07130102122	1.0	2.0	5.0
14125.263218786402	1.0	2.0	5.0
17783.000224933923	1.0	2.0	5.0
22387.483266325406	1.0	2.0	5.0
28184.004985097486	1.0	2.0	5.0
35481.59033921676	1.0	2.0	5.0
44668.64122625626	1.0	2.0	5.0
56234.40605181138	1.0	2.0	5.0
70794.80608067234	1.0	2.0	5.0
89125.19284691618	1.0	2.0	5.0
112202.0498921477	1.0	2.0	5.0
141253.86960009273	1.0	2.0	5.0
177827.65874295257	1.0	2.0	5.0
223872.14300577907	1.0	2.0	5.0
281838.59759089065	1.0	2.0	5.0
354813.4444972456	1.0	2.0	5.0
446683.39235861454	1.0	2.0	5.0
562341.0406141455	1.0	2.0	5.0
707945.4865284474	1.0	2.0	5.0
891250.806451248	1.0	2.0	5.0
